code,label
"['def FUNC_0(self, VAR_3, VAR_4):...\n'
 ""self.hs = self.setup_test_homeserver('red', http_client=None,\n    federation_client=Mock())\n""
 'self.hs.get_federation_handler = Mock()\n'
 'self.hs.get_federation_handler.return_value.maybe_backfill = Mock(return_value\n    =make_awaitable(None))\n'
 'async def FUNC_76(*VAR_20, **VAR_21):...\n' 'return None\n']",1
['def FUNC_2(self):...\n' 'return CLASS_7()\n'],0
"['@VAR_25.whitelist(allow_guest=True)...\n' '""""""docstring""""""\n'
 'VAR_14 = VAR_25.get_doc(VAR_9, VAR_10)\n'
 'if getattr(VAR_14, VAR_11, VAR_25._dict()).is_whitelisted:\n'
 'VAR_25.call(getattr(VAR_14, VAR_11), **frappe.local.form_dict)\n'
 ""VAR_25.throw(_('Not permitted'), VAR_25.PermissionError)\n""]",1
"['@staticmethod...\n' '""""""docstring""""""\n' 'VAR_6.whitelisted = True\n'
 'return VAR_6\n']",1
"['import os\n' 'import tempfile\n' 'import pytest\n'
 'from django.core.files.base import ContentFile\n'
 'from django.utils.encoding import force_str\n'
 'from selenium import webdriver\n'
 'from selenium.common.exceptions import WebDriverException\n'
 ""@pytest.fixture(scope='session')...\n""
 'VAR_2 = webdriver.ChromeOptions()\n' 'VAR_2.headless = True\n'
 'VAR_5 = webdriver.Chrome(options=chrome_options)\n'
 'pytest.skip(force_str(e))\n' 'yield VAR_5\n' '@pytest.fixture...\n'
 'VAR_5.quit()\n' 'VAR_3 = tempfile.mkdtemp()\n'
 ""VAR_4 = os.path.join(VAR_3, '%s.txt' % VAR_0.node.name)\n""
 'f.write(VAR_0.node.name)\n' 'return VAR_4\n']",1
"['def __init__(self, VAR_2: IReactorCore, VAR_3: Optional[...\n'
 'self._reactor = VAR_2\n' 'self._clock = Clock(VAR_2)\n'
 'self._pool = HTTPConnectionPool(VAR_2)\n'
 'self._pool.retryAutomatically = False\n'
 'self._pool.maxPersistentPerHost = 5\n'
 'self._pool.cachedConnectionTimeout = 2 * 60\n'
 'self._agent = Agent.usingEndpointFactory(self._reactor, CLASS_1(VAR_2,\n    VAR_3, VAR_5), pool=self._pool)\n'
 'self.user_agent = VAR_4\n' 'if VAR_6 is None:\n'
 'VAR_6 = WellKnownResolver(self._reactor, agent=Agent(self._reactor, pool=\n    self._pool, contextFactory=tls_client_options_factory), VAR_4=self.\n    user_agent)\n'
 'self._well_known_resolver = VAR_6\n']",1
"['def FUNC_3(self, *, VAR_4: str) ->Set[str]:...\n' '""""""docstring""""""\n'
 'VAR_8 = super().get_imports(VAR_4=prefix)\n'
 ""VAR_8.update({\n    f'from {VAR_4}.{self.reference.module_name} import {self.reference.class_name}'\n    , 'from typing import Dict', 'from typing import cast'})\n""
 'return VAR_8\n']",0
"['def FUNC_2(self) ->str:...\n' '""""""docstring""""""\n' 'if self.required:\n'
 'return self.reference.class_name\n'
 ""return f'Optional[{self.reference.class_name}]'\n""]",1
"['def FUNC_20(VAR_56, VAR_46):...\n'
 'return os.path.exists(VAR_56) and os.access(VAR_56, VAR_46\n    ) and not os.path.isdir(VAR_56)\n']",0
"['@login_required...\n' '""""""docstring""""""\n' 'if VAR_7 is None:\n'
 'VAR_18 = None\n' 'if VAR_8 is None:\n' 'VAR_5 = {}\n'
 'VAR_18 = get_project(VAR_6, VAR_7)\n'
 'VAR_18 = get_component(VAR_6, VAR_7, VAR_8)\n'
 'VAR_12 = ReportsForm(VAR_6.POST)\n' ""VAR_5 = {'project': VAR_18}\n""
 ""VAR_5 = {'component': VAR_18}\n"" 'if not VAR_12.is_valid():\n'
 'show_form_errors(VAR_6, VAR_12)\n'
 ""VAR_13 = FUNC_2(None if VAR_6.user.has_perm('reports.view', VAR_18) else\n    VAR_6.user, VAR_12.cleaned_data['start_date'], VAR_12.cleaned_data[\n    'end_date'], **kwargs)\n""
 ""return redirect_param(VAR_18 or 'home', '#reports')\n""
 ""if VAR_12.cleaned_data['style'] == 'json':\n""
 'return JsonResponse(VAR_13=data, safe=False)\n'
 ""VAR_16 = ('Name', 'Email', 'Count total', 'Edits total',\n    'Source words total', 'Source chars total', 'Target words total',\n    'Target chars total', 'Count new', 'Edits new', 'Source words new',\n    'Source chars new', 'Target words new', 'Target chars new',\n    'Count approved', 'Edits approved', 'Source words approved',\n    'Source chars approved', 'Target words approved',\n    'Target chars approved', 'Count edited', 'Edits edited',\n    'Source words edited', 'Source chars edited', 'Target words edited',\n    'Target chars edited')\n""
 ""if VAR_12.cleaned_data['style'] == 'html':\n""
 ""VAR_19 = VAR_1.format(''.join(f'<th>{h}</th>' for h in VAR_16))\n""
 ""VAR_19 = '{0}\\n{1} {2}\\n{0}'.format(VAR_0, ' '.join(f'{h:40}' for h in\n    VAR_16[:2]), ' '.join(f'{h:24}' for h in VAR_16[2:]))\n""
 ""VAR_20 = '<tr>'\n"" ""VAR_20 = ''\n""
 ""VAR_37 = VAR_38 = '<td>{0}</td>\\n'\n"" ""VAR_37 = '{0:40} '\n""
 ""VAR_25 = '</tr>'\n"" ""VAR_38 = '{0:24} '\n"" ""VAR_26 = 'text/html'\n""
 ""VAR_25 = ''\n"" ""VAR_27 = '</table>'\n"" ""VAR_26 = 'text/plain'\n""
 'VAR_10 = [VAR_19]\n' 'VAR_27 = VAR_0\n' 'for item in VAR_13:\n'
 'if VAR_20:\n' 'VAR_10.append(VAR_27)\n' 'VAR_10.append(VAR_20)\n'
 ""VAR_10.append(''.join((VAR_37.format(item['name'] or 'Anonymous'), VAR_37.\n    format(item['email'] or ''), VAR_38.format(item['count']), VAR_38.\n    format(item['edits']), VAR_38.format(item['words']), VAR_38.format(item\n    ['chars']), VAR_38.format(item['t_words']), VAR_38.format(item[\n    't_chars']), VAR_38.format(item['count_new']), VAR_38.format(item[\n    'edits_new']), VAR_38.format(item['words_new']), VAR_38.format(item[\n    'chars_new']), VAR_38.format(item['t_words_new']), VAR_38.format(item[\n    't_chars_new']), VAR_38.format(item['count_approve']), VAR_38.format(\n    item['edits_approve']), VAR_38.format(item['words_approve']), VAR_38.\n    format(item['chars_approve']), VAR_38.format(item['t_words_approve']),\n    VAR_38.format(item['t_chars_approve']), VAR_38.format(item['count_edit'\n    ]), VAR_38.format(item['edits_edit']), VAR_38.format(item['words_edit']\n    ), VAR_38.format(item['chars_edit']), VAR_38.format(item['t_words_edit'\n    ]), VAR_38.format(item['t_chars_edit']))))\n""
 ""return HttpResponse('\\n'.join(VAR_10), content_type=f'{mime}; charset=utf-8')\n""
 'if VAR_25:\n' 'VAR_10.append(VAR_25)\n']",1
