code,label
"['import synapse.api.errors\n' 'import synapse.handlers.device\n'
 'import synapse.storage\n' 'from tests import unittest\n'
 ""VAR_0 = '@boris:aaa'\n"" ""VAR_1 = '@theresa:bbb'\n""
 'def FUNC_0(self, VAR_2, VAR_3):...\n'
 ""VAR_4 = self.setup_test_homeserver('server', http_client=None)\n""
 'self.handler = VAR_4.get_device_handler()\n'
 'self.store = VAR_4.get_datastore()\n' 'return VAR_4\n']",1
"['def FUNC_85(VAR_19):...\n' '""""""docstring""""""\n'
 ""return {'username': VAR_19.username, 'email': VAR_19.email, 'first_name':\n    VAR_19.first_name, 'last_name': VAR_19.last_name}\n""]",0
"['def FUNC_81(VAR_19):...\n' 'if self.parentfield:\n'
 ""return '{} {} #{}: {} {}'.format(frappe.bold(_(self.doctype)), _('Row'),\n    self.idx, _('Value cannot be negative for'), frappe.bold(_(VAR_19.label)))\n""
 ""return _('Value cannot be negative for {0}: {1}').format(_(VAR_19.parent),\n    frappe.bold(_(VAR_19.label)))\n""]",0
"['def FUNC_8(VAR_0, VAR_1: FlaskClient, VAR_2):...\n'
 ""VAR_5 = VAR_1.get('/dataobj/delete/1')\n""
 'assert VAR_5.status_code == 302\n']",1
"['def __init__(self):...\n'
 'VAR_57 = def_function.function(self.multiply, input_signature=[tensor_spec.\n    TensorSpec(shape=(), dtype=dtypes.float32), tensor_spec.TensorSpec(\n    shape=(), dtype=dtypes.float32)])\n'
 'self.pure_concrete_function = VAR_57.get_concrete_function()\n'
 'super(CLASS_2, self).__init__()\n']",0
"['def FUNC_23(self, VAR_12, VAR_6):...\n'
 ""VAR_29 = VAR_12.get('filters') or []\n"" 'if VAR_6:\n'
 'for key, value in iteritems(VAR_6):\n' 'return VAR_29\n'
 ""VAR_39, VAR_40 = '=', value\n"" 'if isinstance(value, (list, tuple)):\n'
 'VAR_39, VAR_40 = value\n' 'VAR_29.append([key, VAR_39, VAR_40])\n']",0
"['def __init__(self, *, VAR_3: GeneratorData) ->None:...\n'
 'self.openapi: GeneratorData = VAR_3\n'
 'self.env: Environment = Environment(loader=PackageLoader(__package__),\n    trim_blocks=True, lstrip_blocks=True)\n'
 ""self.project_name: str = (self.project_name_override or\n    f'{utils.kebab_case(VAR_3.title).lower()}-client')\n""
 'self.project_dir: Path = Path.cwd() / self.project_name\n'
 ""self.package_name: str = (self.package_name_override or self.project_name.\n    replace('-', '_'))\n""
 'self.package_dir: Path = self.project_dir / self.package_name\n'
 ""self.package_description: str = (\n    f'A client library for accessing {self.openapi.title}')\n""
 'self.version: str = VAR_3.version\n'
 'self.env.filters.update(self.TEMPLATE_FILTERS)\n']",1
"[""def FUNC_31(self, VAR_18, VAR_19=None, VAR_22='read'):...\n""
 'if not VAR_19:\n' 'VAR_19 = self.meta.get_field(VAR_18)\n'
 'return VAR_19.permlevel in self.get_permlevel_access(VAR_22)\n']",0
"['async def FUNC_10(self, VAR_4: str, VAR_19: str, VAR_20: str, VAR_2:...\n'
 '""""""docstring""""""\n' 'if VAR_2 is not None:\n'
 'return await self._lookup_3pid_v1(VAR_4, VAR_19, VAR_20)\n'
 'VAR_66 = await self._lookup_3pid_v2(VAR_4, VAR_2, VAR_19, VAR_20)\n'
 'if isinstance(e, HttpResponseException) and e.code == 404:\n'
 'return VAR_66\n'
 ""VAR_0.warning(\n    'Attempted v2 lookup on v1 identity server %s. Falling back to v1', VAR_4)\n""
 ""VAR_0.warning('Error when looking up hashing details: %s', e)\n""
 'return None\n']",0
"['from django.contrib.auth.decorators import login_required\n'
 'from django.urls import reverse\n'
 'from django.contrib.auth import get_user_model\n'
 'from django.shortcuts import render, redirect, get_object_or_404\n'
 'from django.views.decorators.http import require_POST\n'
 'from django.contrib import messages\n'
 'from django.http import HttpResponsePermanentRedirect\n'
 'from djconfig import config\n' 'from ...core.conf import settings\n'
 'from ...core import utils\n'
 'from ...core.utils.views import is_post, post_data\n'
 'from ...core.utils.paginator import paginate, yt_paginate\n'
 'from ...core.utils.ratelimit.decorators import ratelimit\n'
 'from ...comment.forms import CommentForm\n'
 'from ...comment.utils import comment_posted\n'
 'from ...comment.models import Comment\n' 'from ..models import Topic\n'
 'from ..utils import topic_viewed\n' 'from .utils import notify_access\n'
 'from .models import TopicPrivate\n'
 'from .forms import TopicPrivateManyForm, TopicForPrivateForm, TopicPrivateJoinForm, TopicPrivateInviteForm\n'
 'from ..notification.models import TopicNotification\n'
 'VAR_0 = get_user_model()\n' '@login_required...\n' 'VAR_6 = None\n'
 'if VAR_2:\n' 'VAR_16 = get_object_or_404(VAR_0, VAR_5=user_id)\n'
 'VAR_7 = VAR_1.user\n' ""VAR_6 = {'users': [VAR_16.st.nickname]}\n""
 'VAR_8 = TopicForPrivateForm(VAR_7=user, data=post_data(request))\n'
 'VAR_9 = CommentForm(VAR_7=user, data=post_data(request))\n'
 'VAR_10 = TopicPrivateManyForm(VAR_7=user, data=post_data(request), VAR_6=\n    initial)\n'
 'if is_post(VAR_1) and all([VAR_8.is_valid(), VAR_9.is_valid(), VAR_10.\n'
 'if not VAR_7.st.update_post_hash(VAR_8.get_topic_hash()):\n'
 ""return render(VAR_1=request, template_name=\n    'spirit/topic/private/publish.html', context={'tform': tform, 'cform':\n    cform, 'tpform': tpform})\n""
 ""return redirect(VAR_1.POST.get('next', None) or VAR_8.category.\n    get_absolute_url())\n""
 'VAR_12 = VAR_8.save()\n' 'VAR_9.topic = VAR_12\n'
 'VAR_17 = VAR_9.save()\n'
 'comment_posted(VAR_17=comment, mentions=None)\n'
 'VAR_10.topic = VAR_12\n' 'VAR_10.save_m2m()\n'
 'TopicNotification.bulk_create(users=tpform.get_users(), VAR_17=comment)\n'
 'return redirect(VAR_12.get_absolute_url())\n']",1
